Vessel Call Cd,Vessel Record Id,Cargo Client Code Cd,Berth Nbr,Actual Berth,Actual Unberth,First Activity,Last Activity,Gross Hour,Rain Hours,Gross Vessel Throughput,First Cargo,Last Cargo,Range Of Tonnage,Throughput per hour,Incident - Crane,Incident - Container
1500004001,93159,Cargo Client Code J,J14/15,07/04/2015 07:40:00,07/04/2015 23:15:00,07/04/2015 10:15:00,07/04/2015 22:50:00,15.58,0,1246,,07/04/2015 22:50:00,1K-5K,80,0,0
1500002105,27334,Cargo Client Code V,J12B,13/03/2015 21:15:00,14/03/2015 13:30:00,13/03/2015 23:00:00,14/03/2015 13:00:00,16.25,0,1295.29,14/03/2015 13:00:00,14/03/2015 13:00:00,1K-5K,80,0,1
1500003035,40827,Cargo Client Code I,J15,16/03/2015 00:30:00,16/03/2015 19:40:00,16/03/2015 08:00:00,16/03/2015 19:00:00,19.17,0,1531.13,16/03/2015 19:00:00,16/03/2015 19:00:00,1K-5K,80,0,1
1500000293,90639,Cargo Client Code I,J5,23/01/2015 10:55:00,24/01/2015 10:40:00,23/01/2015 11:15:00,24/01/2015 09:00:00,23.75,0.08,1910.48,23/01/2015 15:00:00,24/01/2015 09:00:00,1K-5K,80,0,0
1500007283,56188,Cargo Client Code B,J3A,24/06/2015 07:00:00,24/06/2015 19:40:00,24/06/2015 08:30:00,24/06/2015 19:15:00,12.67,0,1021.66,24/06/2015 10:10:00,24/06/2015 19:15:00,1K-5K,81,0,0
1500003791,48275,Cargo Client Code B,J5,04/06/2015 09:55:00,07/04/2015 02:00:00,04/06/2015 10:30:00,07/04/2015 01:45:00,16.08,1.11,1299,04/06/2015 11:15:00,07/04/2015 01:45:00,1K-5K,81,0,1
1400016592,51675,Cargo Client Code B,J4,27/01/2015 13:50:00,28/01/2015 06:30:00,27/01/2015 15:00:00,27/01/2015 20:00:00,16.42,0,1323.6,,27/01/2015 20:00:00,1K-5K,81,0,0
1500004215,28453,Cargo Client Code B,J5/6,09/04/2015 10:30:00,10/04/2015 06:30:00,09/04/2015 10:50:00,10/04/2015 01:15:00,20,0,1614,10/04/2015 01:15:00,,1K-5K,81,0,0
1500004886,96851,Cargo Client Code K,J7/8,28/04/2015 12:30:00,29/04/2015 11:30:00,28/04/2015 12:30:00,29/04/2015 10:30:00,23,5.36,1857,29/04/2015 10:30:00,29/04/2015 10:30:00,1K-5K,81,0,0
1500004668,56188,Cargo Client Code B,J3A,23/04/2015 07:00:00,23/04/2015 20:00:00,23/04/2015 08:30:00,23/04/2015 19:50:00,13,0.9,1063,23/04/2015 11:00:00,23/04/2015 19:50:00,1K-5K,82,0,0
